"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","24","2","34.445301","0","24"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","4","1","5.942541","0","4"
"/ControlRig/M_Manip.M_Manip","21","4","4","1","3.445942","0","4"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","210","210","1","512.559814","0","210"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","21","21","1","42.775249","0","21"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","648","648","1","769.444092","0","648"
"/OculusXR/Materials/M_BlobShadow.M_BlobShadow","21","2","2","1","2.961154","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","10","10","1","12.879173","0","10"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","6.007929","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","2","2","1","1.078028","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","2","2","1","0.950547","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","7","7","1","4.713474","0","7"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","2.512363","0","2"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","21","45","45","1","97.518234","0","45"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","15","15","1","30.337496","0","15"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","21","42","42","1","77.302498","0","42"
"/Interchange/gltf/M_Unlit.M_Unlit","21","52","52","6","40.439095","0","52"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","6","1","9.773703","0","6"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","6","1","10.932201","0","6"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","21","90","90","2","215.527222","0","90"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","90","90","2","205.218140","0","90"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","42","42","1","81.672600","0","42"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","102","102","1","214.098572","0","102"
"/Interchange/gltf/M_Default.M_Default","21","188","188","6","381.116150","0","188"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","188","188","6","355.442932","0","188"
"/Interchange/gltf/M_Transmission.M_Transmission","21","72","72","2","220.062805","0","72"
"/Interchange/gltf/M_Sheen.M_Sheen","21","188","188","6","479.106262","0","188"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","188","188","6","470.832916","0","188"
