"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1265","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","132.555740","0","4"
"/OculusXR/Materials/M_FloorMask.M_FloorMask","21","2","2","1","2.577262","0","2"
"/OculusXR/Materials/M_SceneObjectMask.M_SceneObjectMask","21","2","2","1","1.348453","0","2"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","43.181057","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","45.092308","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","17","17","1","186.642761","0","17"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","60.255203","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","4.481319","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","0.998673","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","20","20","1","134.996460","0","20"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","30","30","1","158.321259","0","30"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","135","135","1","1061.811401","0","135"
"/OculusInteraction/Materials/CursorMaterial.CursorMaterial","21","2","2","1","6.227119","0","2"
"/OculusInteraction/Materials/PinchArrowMaterial.PinchArrowMaterial","21","4","4","1","2.861541","0","4"
"/OculusInteraction/Materials/GrabbableLit.GrabbableLit","21","10","10","1","22.347813","0","10"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","15","1","31.941912","0","15"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","0.994736","0","2"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","30","30","1","140.038040","0","30"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","21","8","8","1","7.356585","0","8"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","60","60","1","146.249023","0","60"
