"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","595.989380","0","100"
"/OculusXR/Materials/M_BlobShadow.M_BlobShadow","0","3","3","1","1.799595","0","3"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","24","24","1","114.138939","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","375.122650","0","63"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","0","8","8","1","10.254491","0","8"
"/OculusXR/Materials/M_DistanceMapAll.M_DistanceMapAll","0","2","2","1","2.488153","0","2"
"/OculusXR/Materials/M_DistanceMapOccupied.M_DistanceMapOccupied","0","2","2","1","2.871446","0","2"
"/OculusXR/Materials/M_DistanceMapFree.M_DistanceMapFree","0","2","2","1","1.897436","0","2"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","168.036163","0","33"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","33","1","174.625534","0","33"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","132.199417","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","5","1","4.065452","0","5"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","33","33","1","0.000000","0","33"
"/OculusXR/Materials/RightMetaQuestTouchProMaterial.RightMetaQuestTouchProMaterial","0","12","12","1","69.578583","0","12"
"/OculusXR/Materials/LeftMetaQuestTouchProMaterial.LeftMetaQuestTouchProMaterial","0","12","12","1","0.000000","0","12"
"/OculusXR/Materials/TouchForQuest2Material.TouchForQuest2Material","0","12","12","1","67.059364","0","12"
"/OculusInteraction/Materials/Controllers/MetaQuestPro/M_MetaQuestPro.M_MetaQuestPro","0","24","24","1","64.281471","0","24"
"/OculusInteraction/Materials/Controllers/MetaQuestPro/M_MetaQuestPro_BatteryIndicator.M_MetaQuestPro_BatteryIndicator","0","52","56","1","101.989479","0","56"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","9.332816","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","3.148911","0","5"
"/OculusXR/Materials/M_CreateMask.M_CreateMask","0","3","3","1","2.265018","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.922146","0","7"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","8.469538","0","10"
"/Engine/EngineDebugMaterials/MAT_LevelColorationLitLightmapUV.MAT_LevelColorationLitLightmapUV","0","650","671","1","1772.568359","0","671"
"/OculusXR/Materials/M_JFAPass.M_JFAPass","0","3","3","1","2.421028","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.630744","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","2.887056","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.598314","0","5"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","0","12","12","1","66.036095","0","12"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","33","33","1","188.298294","0","33"
"/OculusXR/Materials/RightMetaQuestTouchPlusMaterial.RightMetaQuestTouchPlusMaterial","0","12","12","1","66.777336","0","12"
"/OculusXR/Materials/LeftMetaQuestTouchPlusMaterial.LeftMetaQuestTouchPlusMaterial","0","12","12","1","0.000000","0","12"
"/OculusXR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","12","1","66.866989","0","12"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","0","12","12","1","66.118080","0","12"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","0","24","24","1","66.871361","0","24"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","254.853561","0","87"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","64.315292","0","29"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","702.517334","0","123"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","650","0","1","0.000000","0","0"
"Globals","49","5373","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","5","6","1","10.288066","0","6"
"/OculusXR/Materials/M_FloorMask.M_FloorMask","49","2","2","1","0.968785","0","2"
"/OculusXR/Materials/M_SceneObjectMask.M_SceneObjectMask","49","2","2","1","4.211409","0","2"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","3","1","1.477456","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","3","1","2.123929","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","2","2","1","0.950772","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","27","29","1","45.104450","0","29"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","5","6","1","2.446379","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","5","1","2.384004","0","5"
"/OculusInteraction/Materials/GrabbableLit.GrabbableLit","49","18","18","1","51.504539","0","18"
"/OculusInteraction/Materials/Hands/M_Hand_Translucent.M_Hand_Translucent","49","40","42","1","47.112358","0","42"
"/OculusInteraction/Materials/CursorMaterial.CursorMaterial","49","3","3","1","1.477242","0","3"
"/OculusInteraction/Materials/PinchArrowMaterial.PinchArrowMaterial","49","4","4","1","2.419898","0","4"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","24","24","1","60.906128","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","91","91","1","365.848969","0","91"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","49","2","2","1","0.000000","0","2"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","49","3","3","1","0.745686","0","3"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","12","14","1","13.587356","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","3","3","1","0.849286","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","24","24","1","61.882702","0","24"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","12","12","1","30.460814","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","49","3","3","1","0.853074","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","3","3","1","0.825942","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","25","25","1","9.947403","0","25"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","49","8","8","1","5.048822","0","8"
"/OculusInteraction/Materials/Controllers/MetaQuestPro/M_MetaQuestPro.M_MetaQuestPro","49","24","24","1","72.387901","0","24"
